Item,ItemB,ItemC,EF.commodity,LUm2.1000kcal,kgCO2e.1000kcal,SWW.liter.1000kcal,PO4e.1000kcal,kcal.per.gram.category,kcal.per.kg.FAO,kcals.per.gram,tmp,kcals.per.gram.Table,proteingrams.per.gram,fatgrams.per.gram,ItemX,Commodity,Trade ,Dom.demand,Dom.demand_V2,FoodSupply.AU,Considerations,Comm_ID,Commodity.profmap,Agstats_Commodity_Label,Agstats_Commodity_Code,SYSTEM,irrigation,Comm_sys,SPREAD_Commodity,Landuse2,LU_8_Class
Tea (including mate),Coffee and tea,Coffee and tea,Coffee,38.60714286,50.94642857,601.7857143,197.3571429,TEA,447.5799539,0.77,0.77,0.4,0.1,0,Tea (including mate),Tea (including mate),Vegetables,Vegetables,Vegetables (nec),Tea (including mate),,,,,,,,,Vegetables,,
Cottonseed Oil,Cottonseed Oil,Cottonseed Oil,Rapeseed Oil,1.202488688,0.426470588,1198.382353,2.17081448,OIL OF COTTON SEED,8879.464335,8.879464335,8.879464335,8.84,0,1,Cottonseed Oil,Cottonseed,Vegetable oil,Vegetable oil,Cotton,Cottonseed Oil,,10,Cotton,Non-cereal broadacre crops - Cotton - total area (ha),1803201,dryland,0,Cotton-dryland,Cotton,Oilseeds,Broadacre Crops
Eggs,Eggs,Eggs,Eggs,4.354166667,3.243055556,12487.98611,15.11111111,HEN EGGS,1390.726565,1.390726565,1.390726565,1.39,0.107,0.098,Eggs,Eggs,Eggs,Eggs,Eggs,Eggs,,,Eggs,Eggs produced for human consumption - number (doz.),8007001,dryland,0,eggs_dryland,Chickens,Livestock,Livestock
"Fats, Animals, Raw","Fats, Animals, Raw","Fats, Animals, Raw",Poultry Meat,6.605405405,5.335135135,7663.72973,26.32432432,ANIMAL OILS AND FATS NES,6640.020543,6.640020543,6.640020543,9.02,0,1,"Fats, Animals, Raw",Animal fats,Animal fats,Animal fats,Animal fats,"Fats, Animals, Raw",,,,,,,,,Animal fats,,
"Citrus, Other",Citrus,Fruits (nec),Citrus Fruit,2.6875,1.21875,14570.9375,7,CITRUS FRUIT NES,260,5,5,0.26,0.005,0.002,Citrus Other,,Fruits,Fruits,Citrus,"Citrus, Other",Shares remain constant - equivalence factors for juices and other products,,,,,,,,Citrus,Fruit,Horticulture
Cocoa Beans and products,Fruits (nec),Fruits (nec),Dark Chocolate,13.3384913,9.023210832,556.9052224,16.84332689,COCOA BEANS,1546.070006,5,5,4.14,0.04,0.4,Cocoa Beans and products,Plantation Fruit,Fruits,Fruits,Fruits (nec),Cocoa Beans and products,,,,,,,,,Plantation Fruit,,
Coconuts - Incl Copra,Fruits (nec),Fruits (nec),Palm Oil,0.273755656,0.828054299,4.095022624,1.207013575,COCONUTS,1333.560351,5,5,1.84,0.017,0.174,Coconuts - Incl Copra,Coconut,Fruits,Fruits,Fruits (nec),Coconuts - Incl Copra,,,,,,,,,Plantation Fruit,,
Dates,Fruits (nec),Fruits (nec),Berries & Grapes,4.228070175,2.684210526,37126.49123,10.73684211,DATES,1571.075482,5,5,1.56,0.015,0.004,Dates,Date,Fruits,Fruits,Fruits (nec),Dates,Shares remain constant - equivalence factors for juices and other products,215,Date,Orchard fruit - Dates - total trees - number (n),4204615,dryland,0,Date-dryland,Tropical Stone Fruit,Fruit,Horticulture
"Fruits, Other",Fruits (nec),Fruits (nec),Bananas,3.216666667,1.433333333,1103.166667,5.483333333,FRUIT NES FRESH,524.0247288,5,5,0.45,0.005,0.005,Fruits Other,,Fruits,Fruits,Fruits (nec),"Fruits, Other",Shares remain constant - equivalence factors for juices and other products,,,,,,,,Stone Fruit,,
Grapefruit and products,Citrus,Fruits (nec),Citrus Fruit,2.6875,1.21875,14570.9375,7,GRAPEFRUIT AND POMELO,201.2632086,5,5,0.16,0.003,0.001,Grapefruit and products,Grapefruit,Fruits,Fruits,Fruits (nec),Grapefruit and products,Shares remain constant - equivalence factors for juices and other products,201,Grapefruit,Orchard fruit - Grapefruit - total trees - number (n),4201015,dryland,0,Grapefruit-dryland,Tropical Stone Fruit,Fruit,Horticulture
"Lemons, Limes and products",Citrus,Fruits (nec),Citrus Fruit,2.6875,1.21875,14570.9375,7,LEMONS AND LIMES,201.3625173,5,5,0.15,0.006,0.002,Lemons Limes and products,Lemon,Fruits,Fruits,Citrus,"Lemons, Limes and products",Shares remain constant - equivalence factors for juices and other products,202,Lemon,Orchard fruit - Lemons - total trees - number (n),4201115,dryland,0,Lemon-dryland,Citrus,Fruit,Horticulture
Olives (including preserved),Fruits (nec),Fruits (nec),Olive Oil,2.976244344,0.613122172,20076.9457,4.214932127,OLIVES,873.6943494,5,5,1.75,0.013,0.175,Olives (including preserved),Olive,Oilseeds ,Fruits,Fruits (nec),Olives (including preserved),,205,Olive,Orchard fruit - Olives - total trees - number (n),4205715,dryland,0,Olive-dryland,Stone Fruit,Fruit,Horticulture
"Oranges, Mandarines",Citrus,Fruits (nec),Citrus Fruit,2.6875,1.21875,14570.9375,7,ORANGES,303.1282684,5,5,0.34,0.007,0.001,Oranges Mandarines,Orange,Fruit (net trade model),Fruits,Citrus,"Oranges, Mandarines",Shares remain constant - equivalence factors for juices and other products,24,Orange,Orchard fruit - Oranges - total trees - number (n),4200715,dryland,0,Orange-dryland,Citrus,Fruit,Horticulture
Pineapples and products,Fruits (nec),Fruits (nec),Bananas,3.216666667,1.433333333,1103.166667,5.483333333,PINEAPPLES,399.58779,5,5,0.26,0.002,0.002,Pineapples and products,Pineapple,Fruit (net trade model),Fruits,Fruits (nec),Pineapples and products,Shares remain constant - equivalence factors for juices and other products,226,Pineapple,Pineapples - total area (ha),4306015,dryland,0,Pineapple-dryland,Plantation Fruit,Fruit,Horticulture
Plantains,Fruits (nec),Fruits (nec),Bananas,3.216666667,1.433333333,1103.166667,5.483333333,PLANTAINS,750,5,5,0.75,0.008,0.003,Plantains,Banana,Fruit (net trade model),Fruits,Fruits (nec),Plantains,Shares remain constant - equivalence factors for juices and other products,,,,,,,,Plantation Fruit,,
Grapes and products (excl wine),Grapes and products (excl wine),Grapes and products (excl wine),Berries & Grapes,4.228070175,2.684210526,37126.49123,10.73684211,GRAPES,660.3050842,0.660305084,0.660305084,0.53,0.005,0.004,Grapes and products (excl wine),Grape,Fruits,Fruits,Grapes,Grapes and products (excl wine),Shares remain constant - equivalence factors for juices and other products,15,Grape,Total grapes - total area of vines (ha),5109917,dryland,0,Grape-dryland,Grapes,Fruit,Horticulture
Groundnut Oil,Groundnut Oil,Groundnut Oil,Groundnuts,1.570689655,0.556896552,10654.81034,2.437931034,OIL OF GROUNDNUTS,8645.794589,8.645794589,8.645794589,8.84,0,1,Groundnut Oil,Legumes,Legumes,Legumes,Legumes,Groundnut Oil,,,,,,,,,Summer Legumes,,
Groundnuts (in Shell Eq),Groundnuts (in Shell Eq),Groundnuts (in Shell Eq),Groundnuts,1.570689655,0.556896552,10654.81034,2.437931034,GROUNDNUTS IN SHELL,4140,4.14,4.14,4.14,0.187,0.359,Groundnuts (Shelled Eq),Peanut,Legumes ,Legumes,Legumes,Groundnuts (Shelled Eq),Share of winter to summer production remains constant,,,,,,,,Summer Legumes,,
Groundnuts (Shelled Eq),Groundnuts (Shelled Eq),Groundnuts (Shelled Eq),Groundnuts,1.570689655,0.556896552,10654.81034,2.437931034,GROUNDNUTS SHELLED,5420.998015,5.420998015,5.420998015,5.67,0.257,0.492,Groundnuts (Shelled Eq),Peanut,Legumes ,Legumes,Legumes,,Share of winter to summer production remains constant,,,,,,,,Summer Legumes,,
"Meat, Other","Meat, Other","Meat, Other",Poultry Meat,6.605405405,5.335135135,7663.72973,26.32432432,MEAT NES,1204.577631,1.204577631,1.204577631,1.26,0.164,0.06,Meat Other,Meat (nec),Meat (nec),Meat (nec),Meat (nec),"Meat, Other",,,,,,,,,Meat (nec),,
Milk - Excluding Butter,Milk - Excluding Butter,Milk - Excluding Butter,Milk,14.91666667,5.25,32977.16667,17.75,"COW MILK, WHOLE FRESH",527.0242174,0.527024217,0.527024217,0.61,0.033,0.033,Milk - Excluding Butter,Dairy Cattle,Milk products,Milk products,Milk products,Milk - Excluding Butter,Ratios held constant,,,,,,,,Dairy Cattle,,
"Butter, Ghee",Milk products (nec),Milk products (nec),Cheese,22.68475452,6.170542636,46731.42119,25.41860465,BUTTER OF COW MILK,7181.178525,14.7,14.7,7.17,0.009,0.811,Butter Ghee,Dairy Cattle,Milk products,Milk products,Milk products,"Butter, Ghee",Ratios held constant,,,,,,,,Dairy Cattle,,
Cream,Milk products (nec),Milk products (nec),Beef (dairy herd),15.83882784,12.1978022,43884.68864,133.8058608,"CREAM, FRESH",1258.62069,14.7,14.7,1.95,0.027,0.193,Cream,Dairy Cattle,Milk products,Milk products,Milk products,Cream,Ratios held constant,,,,,,,,Dairy Cattle,,
"Milk, Whole","Milk, Whole","Milk, Whole",Milk,14.91666667,5.25,32977.16667,17.75,"COW MILK, WHOLE FRESH",610,0.61,0.61,0.61,0.033,0.033,"Milk, Whole",Dairy Cattle,Milk products,Milk products,Milk products,,Ratios held constant,,,,,,,,Dairy Cattle,,
Honey,Miscellaneous,Miscellaneous,Cane Sugar,0.581196581,0.911680912,4683.361823,4.820512821,HONEY,3075.474687,6.5,6.5,2.98,0.004,0,Honey,Honey,Miscellaneous,Miscellaneous,Miscellaneous,Honey,,,,,,,,,Miscellaneous,,
Infant food,Miscellaneous,Miscellaneous,Milk,14.91666667,5.25,32977.16667,17.75,INFANT FOOD,3769.663871,6.5,6.5,3.68,0.152,0.029,Infant food,Infant food,Miscellaneous,Miscellaneous,Miscellaneous,Infant food,Ratios held constant,,,,,,,,Miscellaneous,,
Miscellaneous,Miscellaneous,Miscellaneous,Barley,0.222,0.236,139.28,0.466,FOOD PREPARATIONS,2357,6.5,6.5,0.41,0.012,0.005,Miscellaneous,Miscellaneous,Miscellaneous,Miscellaneous,Miscellaneous,Miscellaneous,,,,,,,,,Miscellaneous,,
Mutton & Goat Meat,Mutton & Goat Meat,Mutton & Goat Meat,Lamb & Mutton,116.659306,12.52996845,44771.29338,30.64037855,MUTTON AND LAMB,2469.482511,2.58,2.61,2.63,0.135,0.228,Mutton & Goat Meat,Sheep,Sheep,Ruminant,Sheep,Mutton & Goat Meat,Domestic demand met through domestic production,,,,,,,,Sheep,,
Nuts and products,Nuts and products,Nuts and products,Nuts,2.107317073,0.069918699,37380.45528,3.113821138,NUTS NES,2325.886622,2.325886622,2.325886622,2.62,0.07,0.25,Nuts and products,Nuts,Nuts,Nuts,Nuts,Nuts and products,,,,,,,,,Nuts,Tree Nuts,Horticulture
"Offals, Edible","Offals, Edible","Offals, Edible",Lamb & Mutton,116.659306,12.52996845,44771.29338,30.64037855,OFFALS OF CATTLE,1088.335707,1.088335707,1.088335707,1.05,0.184,0.025,"Offals, Edible",Offals,Offals,Offals,Offals,"Offals, Edible",,,,,,,,,Offals,,
Coconut Oil,Oilseeds,Oilseeds,Palm Oil,0.273755656,0.828054299,4.095022624,1.207013575,OIL OF COCONUTS,8363.239233,75,75,8.84,0,1,Coconut Oil,Coconut,Oilseeds,Oilseeds,Oilseeds,Coconut Oil,,,,,,,,,Plantation Fruit,,
Maize Germ Oil,Oilseeds,Oilseeds,Sunflower Oil,1.997737557,0.407239819,4114.18552,5.730769231,OIL OF MAIZE,8710.070901,75,75,8.84,0,1,Maize Germ Oil,Maize,Oilseeds,Oilseeds,Oilseeds,Maize Germ Oil,,18,Maize,Cereal crops - Maize for grain- area (ha),1505301,dryland,0,Maize-dryland,Summer Cereals,Cereals,Broadacre Crops
"Oilcrops Oil, Other",Oilseeds,Oilseeds,Sunflower Oil,1.997737557,0.407239819,4114.18552,5.730769231,OIL OF VEGETABLE ORIGIN NES,13778.42065,75,75,8.84,0,1,Oilcrops Oil Other,Oilseeds ,Oilseeds ,Oilseeds,Oilseeds,"Oilcrops Oil, Other",Exports to EU important. Domestic oilseed demand converted to tonnage. Imports? Storyline (self-sufficient versus imports to meet increase),,,,,,,,Winter Oilseeds,,
Olive Oil,Oilseeds,Oilseeds,Olive Oil,2.976244344,0.613122172,20076.9457,4.214932127,OLIVE OIL,8893.034206,75,75,8.84,0,1,Olive Oil,Olive,Oilseeds ,Oilseeds,Oilseeds,Olive Oil,Exports to EU important. Domestic oilseed demand converted to tonnage. Imports? Storyline (self-sufficient versus imports to meet increase),205,Olive,Orchard fruit - Olives - total trees - number (n),4205715,dryland,0,Olive-dryland,Stone Fruit,Fruit,Horticulture
Palm Oil,Oilseeds,Oilseeds,Palm Oil,0.273755656,0.828054299,4.095022624,1.207013575,OIL PALM FRUIT,8260.114799,75,75,1.58,0.003,0.132,Palm Oil,Palm,Oilseeds ,Oilseeds,Oilseeds,Palm Oil,Exports to EU important. Domestic oilseed demand converted to tonnage. Imports? Storyline (self-sufficient versus imports to meet increase),,,,,,,,Summer Oilseeds,,
Rape and Mustard Oil,Oilseeds,Oilseeds,Rapeseed Oil,1.202488688,0.426470588,1198.382353,2.17081448,OIL OF RAPESEED,9013.817551,75,75,8.84,0,1,Rape and Mustard Oil,Canola,Oilseeds ,Oilseeds,Oilseeds,Rape and Mustard Oil,Exports to EU important. Domestic oilseed demand converted to tonnage. Imports? Storyline (self-sufficient versus imports to meet increase),,,,,,,,Winter Oilseeds,,
Sesameseed Oil,Oilseeds,Oilseeds,Rapeseed Oil,1.202488688,0.426470588,1198.382353,2.17081448,OIL OF SESAME SEED,7931.683752,75,75,8.84,0,1,Sesameseed Oil,Sesame,Oilseeds ,Oilseeds,Oilseeds,Sesameseed Oil,Exports to EU important. Domestic oilseed demand converted to tonnage. Imports? Storyline (self-sufficient versus imports to meet increase),,,,,,,,Summer Oilseeds,,
Soyabean Oil,Oilseeds,Oilseeds,Sunflower Oil,1.997737557,0.407239819,4114.18552,5.730769231,OIL OF SOYABEANS,8615.036102,75,75,8.84,0,1,Soyabean Oil,Soybean,Oilseeds,Oilseeds,Oilseeds,Soyabean Oil,Share of winter to summer production remains constant,42,Soybean,Non-cereal broadacre crops - Soybeans - area (ha),1801701,dryland,0,Soybean-dryland,Summer Legumes,Legumes,Broadacre Crops
Sunflowerseed Oil,Oilseeds,Oilseeds,Sunflower Oil,1.997737557,0.407239819,4114.18552,5.730769231,OIL OF SUNFLOWER SEED,8484.983984,75,75,8.84,0,1,Sunflowerseed Oil,Sunflower,Oilseeds ,Oilseeds,Oilseeds,Sunflowerseed Oil,Exports to EU important. Domestic oilseed demand converted to tonnage. Imports? Storyline (self-sufficient versus imports to meet increase),43,Sunflower,Non-cereal broadacre crops - Sunflower - area (ha),1903901,dryland,0,Sunflower-dryland,Summer Oilseeds,Oilseeds,Broadacre Crops
Peas,Peas,Peas,Peas,2.156069364,0.283236994,7663.72973,2.173410405,"PEAS, GREEN",3225.160642,3.225160642,3.225160642,0.31,0.021,0.002,Peas,Field pea,Legumes ,Legumes,Legumes,Peas,Share of winter to summer production remains constant,13,Field Pea,Non-cereal broadacre crops - Field peas for grain - area (ha),1809101,dryland,0,Field Pea-dryland,Winter Legumes,Legumes,Broadacre Crops
Pigmeat,Pigmeat,Pigmeat,Pig Meat,7.263598326,5.150627615,27977.99163,31.958159,PIGMEAT,1870.951576,1.870951576,1.9,3.26,0.11,0.31,Pigmeat,Pork,Pork,Monograstic meat,Pork,Pigmeat,,,Pigs,Livestock - Pigs - Total (no.),,dryland,0,pigs-dryland,Pigs,Livestock,Livestock
Potatoes and products,Potatoes and products,Potatoes and products,Potatoes,1.202185792,0.628415301,3762.568306,4.754098361,POTATOES,588.6937803,0.58869378,0.58869378,0.67,0.016,0.001,Potatoes and products,Potatoes and products,Roots & tubers (net trade model),Roots & tubers,Potatoes,Potatoes and products,Changing trends in imports could be accounted for through a storyline parameter (e.g self-sufficient versus continuation of current trends),37,Potato,Vegetables for human consumption - Potatoes - total area (ha),3505901,dryland,0,Potato-dryland,Vegetables,Vegetables,Horticulture
Poultry Meat,Poultry Meat,Poultry Meat,Poultry Meat,6.605405405,5.335135135,7663.72973,26.32432432,POULTRY MEAT,1470.375336,1.49,1.5,1.85,0.171,0.124,Poultry Meat,Poultry,Poultry,Monograstic meat,Poultry,Poultry Meat,,,Chickens,Livestock - Poultry and eggs - Live poultry - Meat chickens (no.),,dryland,0,chickens-dryland,Chickens,Livestock,Livestock
"Pulses, Other and products","Pulses, Other and products","Pulses, Other and products",Other Pulses,4.565982405,0.524926686,7663.72973,5.008797654,PULSES NES,3537.919664,3.537919664,3.537919664,3.4,0.22,0.02,Pulses Other and products,,Legumes ,Legumes,Legumes,"Pulses, Other and products",Share of winter to summer production remains constant,,,,,,,,Winter Legumes,,
Rice (Paddy Equivalent),Rice (Paddy Equivalent),Rice (Paddy Equivalent),Rice,0.759631036,1.207270754,13449.89148,9.51437873,RICE PADDY,3410.831842,3.410831842,3.410831842,2.8,0.06,0.014,Rice (Paddy Equivalent),Rice,Rice (net trade),Cereals,Rice,,,39,Rice,Cereal crops - Rice for grain - area (ha),1508501,dryland,0,Rice-dryland,Rice,Cereals,Broadacre Crops
Rice and products,Rice and products,Rice and products,Rice,0.759631036,1.207270754,13449.89148,9.51437873,RICE PADDY,3411.831842,3.411831842,3.411831842,2.8,0.06,,Rice (Paddy Equivalent),Rice,Rice (net trade),Cereals,Rice,Rice and products,,39,Rice,Cereal crops - Rice for grain - area (ha),1508501,dryland,0,Rice-dryland,Rice,Cereals,Broadacre Crops
"Aquatic Animals, Others",Seafood,Seafood,Fish (farmed),4.698324022,7.61452514,23224.69274,131.3519553,AQUATIC ANIMALS NES FRESH,258.3464686,6,6,0.3,0.04,0.002,Aquatic Animals Others,Seafood,Seafood,Seafood,Seafood,"Aquatic Animals, Others",Fish & seafood (wild caught vs. aquaculture),,,,,,,,Seafood,,
Aquatic Plants,Seafood,Seafood,Barley,0.222,0.236,139.28,0.466,AQUATIC PLANTS,540,6,6,0.54,0.028,0.006,Aquatic Plants,Seafood,Seafood,Seafood,Seafood,Aquatic Plants,Fish & seafood (wild caught vs. aquaculture),,,,,,,,Seafood,,
Cephalopods,Seafood,Seafood,Fish (farmed),4.698324022,7.61452514,23224.69274,131.3519553,CEPHALOPODS FRESH,463.6087342,6,6,0.66,0.135,0.007,Cephalopods,Seafood,Seafood,Seafood,Seafood,Cephalopods,Fish & seafood (wild caught vs. aquaculture),,,,,,,,Seafood,,
Crustaceans,Seafood,Seafood,Fish (farmed),4.698324022,7.61452514,23224.69274,131.3519553,CRUSTACEANS FRESH,404.0791714,6,6,0.47,0.093,0.005,Crustaceans,Seafood,Seafood,Seafood,Seafood,Crustaceans,Fish & seafood (wild caught vs. aquaculture),,,,,,,,Seafood,,
Demersal Fish,Seafood,Seafood,Fish (farmed),4.698324022,7.61452514,23224.69274,131.3519553,DEMERSAL FISH FRESH,393.0929288,6,6,0.42,0.083,0.008,Demersal Fish,Seafood,Seafood,Seafood,Seafood,Demersal Fish,Fish & seafood (wild caught vs. aquaculture),,,,,,,,Seafood,,
"Fish, Body Oil",Seafood,Seafood,Fish (farmed),4.698324022,7.61452514,23224.69274,131.3519553,MARINE FISH NES BODY OIL,9020,6,6,9.02,0,1,Fish Body Oil,Seafood,Seafood,Seafood,Seafood,"Fish, Body Oil",Fish & seafood (wild caught vs. aquaculture),,,,,,,,Seafood,,
"Fish, Liver Oil",Seafood,Seafood,Fish (farmed),4.698324022,7.61452514,23224.69274,131.3519553,PELAGIC FISH LIVER OIL,4075.833333,6,6,9.02,0,1,Fish Liver Oil,Seafood,Seafood,Seafood,Seafood,"Fish, Liver Oil",Fish & seafood (wild caught vs. aquaculture),,,,,,,,Seafood,,
Freshwater Fish,Seafood,Seafood,Fish (farmed),4.698324022,7.61452514,23224.69274,131.3519553,FRESHWATER DIADROMOUS FISH BODY OIL,940.8336965,6,6,9.02,0,1,Freshwater Fish,Seafood,Seafood,Seafood,Seafood,Freshwater Fish,Fish & seafood (wild caught vs. aquaculture),,,,,,,,Seafood,,
"Marine Fish, Other",Seafood,Seafood,Fish (farmed),4.698324022,7.61452514,23224.69274,131.3519553,MARINE FISH NES FRESH,636.2122659,6,6,0.64,0.103,0.022,Marine Fish Other,Seafood,Seafood,Seafood,Seafood,"Marine Fish, Other",Fish & seafood (wild caught vs. aquaculture),,,,,,,,Seafood,,
"Molluscs, Other",Seafood,Seafood,Fish (farmed),4.698324022,7.61452514,23224.69274,131.3519553,MOLLUSCS FRESH,114.6585035,6,6,0.15,0.023,0.002,Molluscs Other,Seafood,Seafood,Seafood,Seafood,"Molluscs, Other",Fish & seafood (wild caught vs. aquaculture),,,,,,,,Seafood,,
Pelagic Fish,Seafood,Seafood,Fish (farmed),4.698324022,7.61452514,23224.69274,131.3519553,PELAGIC FISH FRESH,974.1858505,6,6,0.86,0.126,0.036,Pelagic Fish,Seafood,Seafood,Seafood,Seafood,Pelagic Fish,Fish & seafood (wild caught vs. aquaculture),,,,,,,,Seafood,,
Soyabeans,Soyabeans,Soyabeans,Tofu (soybeans),1.298892989,1.166051661,1886.789668,2.273062731,SOYBEANS,1010.944986,1.010944986,1.010944986,3.35,0.38,0.18,Soyabeans,Soybean,Legumes ,Legumes,Legumes,Soyabeans,Share of winter to summer production remains constant,42,Soybean,Non-cereal broadacre crops - Soybeans - area (ha),1801701,dryland,0,Soybean-dryland,Summer Legumes,Legumes,Broadacre Crops
Sugar (Raw Equivalent),Sugar ,Sugar ,Cane Sugar,0.581196581,0.911680912,4683.361823,4.820512821,"SUGAR, CENTRIFUGAL RAW",3730,6.5,7,3.73,0.002,0,Sugar (Raw Equivalent),Sugar,Sugar cane,Sugar ,Sugar ,"Sugar, Raw Equivalent",All sugar from domestically produced cane,49,Sugar,Non-cereal broadacre crops - Sugar cane - total area (ha),1903101,dryland,0,Sugar-dryland,Sugar,Sugar,Broadacre Crops
"Sugar, Raw Equivalent",Sugar ,Sugar ,Cane Sugar,0.581196581,0.911680912,4683.361823,4.820512821,"SUGAR, CENTRIFUGAL RAW",3730,6.5,7,3.73,0.002,0,"Sugar, Raw Equivalent",Sugar,Sugar cane,Sugar ,Sugar ,,,49,Sugar,Non-cereal broadacre crops - Sugar cane - total area (ha),1903101,dryland,0,Sugar-dryland,Sugar,Sugar,Broadacre Crops
